aar;BoHF;BoHF_txt;ald_gr;ErMann;under72t;over72t;ikke_utf;Nevner
2013;1;Finnmark;1;0;3;3;0;6
2013;1;Finnmark;1;1;15;9;3;27
2013;1;Finnmark;2;0;3;3;6;12
2013;1;Finnmark;2;1;10;11;7;28
2013;1;Finnmark;3;0;5;4;12;21
2013;1;Finnmark;3;1;3;4;9;16
2013;2;UNN;1;0;12;0;1;13
2013;2;UNN;1;1;54;9;5;68
2013;2;UNN;2;0;6;2;6;14
2013;2;UNN;2;1;39;3;6;48
2013;2;UNN;3;0;16;1;4;21
2013;2;UNN;3;1;25;7;11;43
2013;3;Nordland;1;0;4;2;6;12
2013;3;Nordland;1;1;27;6;6;39
2013;3;Nordland;2;0;4;4;4;12
2013;3;Nordland;2;1;18;14;11;43
2013;3;Nordland;3;0;8;4;12;24
2013;3;Nordland;3;1;7;12;12;31
2013;4;Helgeland;1;0;1;1;2;4
2013;4;Helgeland;1;1;11;4;4;19
2013;4;Helgeland;2;0;1;2;3;6
2013;4;Helgeland;2;1;10;14;5;29
2013;4;Helgeland;3;0;1;6;4;11
2013;4;Helgeland;3;1;5;7;7;19
2013;6;Nord-Trøndelag;1;0;4;6;5;15
2013;6;Nord-Trøndelag;1;1;22;10;6;38
2013;6;Nord-Trøndelag;2;0;8;4;8;20
2013;6;Nord-Trøndelag;2;1;23;15;12;50
2013;6;Nord-Trøndelag;3;0;7;9;8;24
2013;6;Nord-Trøndelag;3;1;5;9;28;42
2013;7;St. Olavs;1;0;11;5;4;20
2013;7;St. Olavs;1;1;65;18;1;84
2013;7;St. Olavs;2;0;7;7;3;17
2013;7;St. Olavs;2;1;36;20;6;62
2013;7;St. Olavs;3;0;18;4;10;32
2013;7;St. Olavs;3;1;19;9;9;37
2013;8;Møre og Romsdal;1;0;5;4;4;13
2013;8;Møre og Romsdal;1;1;30;29;6;65
2013;8;Møre og Romsdal;2;0;7;5;11;23
2013;8;Møre og Romsdal;2;1;12;23;19;54
2013;8;Møre og Romsdal;3;0;3;7;21;31
2013;8;Møre og Romsdal;3;1;16;20;20;56
2013;10;Førde;1;0;0;1;1;2
2013;10;Førde;1;1;7;8;4;19
2013;10;Førde;2;0;2;3;3;8
2013;10;Førde;2;1;8;7;3;18
2013;10;Førde;3;0;1;1;2;4
2013;10;Førde;3;1;5;3;6;14
2013;11;Bergen;1;0;13;8;7;28
2013;11;Bergen;1;1;50;40;11;101
2013;11;Bergen;2;0;9;18;14;41
2013;11;Bergen;2;1;40;30;11;81
2013;11;Bergen;3;0;10;16;12;38
2013;11;Bergen;3;1;22;28;19;69
2013;12;Fonna;1;0;1;2;1;4
2013;12;Fonna;1;1;20;13;7;40
2013;12;Fonna;2;0;8;3;2;13
2013;12;Fonna;2;1;16;7;7;30
2013;12;Fonna;3;0;2;3;5;10
2013;12;Fonna;3;1;6;15;4;25
2013;13;Stavanger;1;0;14;4;4;22
2013;13;Stavanger;1;1;57;15;4;76
2013;13;Stavanger;2;0;16;5;7;28
2013;13;Stavanger;2;1;34;11;7;52
2013;13;Stavanger;3;0;9;7;14;30
2013;13;Stavanger;3;1;28;7;19;54
2013;14;Østfold;1;0;5;3;1;9
2013;14;Østfold;1;1;42;7;6;55
2013;14;Østfold;2;0;3;0;6;9
2013;14;Østfold;2;1;26;7;5;38
2013;14;Østfold;3;0;7;1;5;13
2013;14;Østfold;3;1;17;5;11;33
2013;15;Akershus;1;0;8;3;5;16
2013;15;Akershus;1;1;16;7;8;31
2013;15;Akershus;2;0;8;2;5;15
2013;15;Akershus;2;1;15;7;7;29
2013;15;Akershus;3;0;5;4;9;18
2013;15;Akershus;3;1;9;5;7;21
2013;16;Oslo;1;0;7;2;7;16
2013;16;Oslo;1;1;75;10;9;94
2013;16;Oslo;2;0;19;5;6;30
2013;16;Oslo;2;1;42;10;21;73
2013;16;Oslo;3;0;17;4;26;47
2013;16;Oslo;3;1;30;8;19;57
2013;19;Innlandet;1;0;16;4;7;27
2013;19;Innlandet;1;1;53;12;21;86
2013;19;Innlandet;2;0;16;10;13;39
2013;19;Innlandet;2;1;44;16;20;80
2013;19;Innlandet;3;0;14;5;19;38
2013;19;Innlandet;3;1;15;10;29;54
2013;20;Vestre Viken;1;0;18;5;5;28
2013;20;Vestre Viken;1;1;48;5;11;64
2013;20;Vestre Viken;2;0;13;5;13;31
2013;20;Vestre Viken;2;1;34;15;20;69
2013;20;Vestre Viken;3;0;6;10;12;28
2013;20;Vestre Viken;3;1;25;13;16;54
2013;21;Vestfold;1;0;13;0;6;19
2013;21;Vestfold;1;1;37;7;12;56
2013;21;Vestfold;2;0;9;2;5;16
2013;21;Vestfold;2;1;31;13;14;58
2013;21;Vestfold;3;0;10;5;9;24
2013;21;Vestfold;3;1;13;7;21;41
2013;22;Telemark;1;0;17;0;3;20
2013;22;Telemark;1;1;47;1;11;59
2013;22;Telemark;2;0;12;2;2;16
2013;22;Telemark;2;1;25;5;8;38
2013;22;Telemark;3;0;10;3;6;19
2013;22;Telemark;3;1;18;4;17;39
2013;23;Sørlandet;1;0;14;0;0;14
2013;23;Sørlandet;1;1;41;2;1;44
2013;23;Sørlandet;2;0;13;1;2;16
2013;23;Sørlandet;2;1;33;1;3;37
2013;23;Sørlandet;3;0;16;1;3;20
2013;23;Sørlandet;3;1;15;0;8;23
2014;1;Finnmark;1;0;5;0;3;8
2014;1;Finnmark;1;1;15;13;13;41
2014;1;Finnmark;2;0;4;6;9;19
2014;1;Finnmark;2;1;11;11;8;30
2014;1;Finnmark;3;0;4;3;9;16
2014;1;Finnmark;3;1;7;6;11;24
2014;2;UNN;1;0;16;2;4;22
2014;2;UNN;1;1;50;9;2;61
2014;2;UNN;2;0;11;1;2;14
2014;2;UNN;2;1;34;10;9;53
2014;2;UNN;3;0;10;3;4;17
2014;2;UNN;3;1;27;2;11;40
2014;3;Nordland;1;0;14;1;4;19
2014;3;Nordland;1;1;27;4;4;35
2014;3;Nordland;2;0;8;2;7;17
2014;3;Nordland;2;1;12;7;5;24
2014;3;Nordland;3;0;7;3;6;16
2014;3;Nordland;3;1;15;4;9;28
2014;4;Helgeland;1;0;3;0;1;4
2014;4;Helgeland;1;1;11;2;5;18
2014;4;Helgeland;2;0;4;1;3;8
2014;4;Helgeland;2;1;10;6;3;19
2014;4;Helgeland;3;0;1;4;6;11
2014;4;Helgeland;3;1;3;3;8;14
2014;6;Nord-Trøndelag;1;0;1;3;4;8
2014;6;Nord-Trøndelag;1;1;33;6;8;47
2014;6;Nord-Trøndelag;2;0;10;6;6;22
2014;6;Nord-Trøndelag;2;1;23;13;9;45
2014;6;Nord-Trøndelag;3;0;11;3;8;22
2014;6;Nord-Trøndelag;3;1;12;15;12;39
2014;7;St. Olavs;1;0;17;2;3;22
2014;7;St. Olavs;1;1;61;10;10;81
2014;7;St. Olavs;2;0;16;4;5;25
2014;7;St. Olavs;2;1;50;17;10;77
2014;7;St. Olavs;3;0;11;1;14;26
2014;7;St. Olavs;3;1;31;18;17;66
2014;8;Møre og Romsdal;1;0;6;4;8;18
2014;8;Møre og Romsdal;1;1;24;17;10;51
2014;8;Møre og Romsdal;2;0;11;6;5;22
2014;8;Møre og Romsdal;2;1;21;29;23;73
2014;8;Møre og Romsdal;3;0;6;8;29;43
2014;8;Møre og Romsdal;3;1;12;19;25;56
2014;10;Førde;1;0;1;2;1;4
2014;10;Førde;1;1;13;3;1;17
2014;10;Førde;2;0;2;4;2;8
2014;10;Førde;2;1;6;8;1;15
2014;10;Førde;3;0;4;5;3;12
2014;10;Førde;3;1;10;7;6;23
2014;11;Bergen;1;0;19;5;5;29
2014;11;Bergen;1;1;75;29;8;112
2014;11;Bergen;2;0;15;3;11;29
2014;11;Bergen;2;1;41;23;26;90
2014;11;Bergen;3;0;19;13;19;51
2014;11;Bergen;3;1;32;17;21;70
2014;12;Fonna;1;0;5;2;2;9
2014;12;Fonna;1;1;16;20;4;40
2014;12;Fonna;2;0;4;9;6;19
2014;12;Fonna;2;1;18;17;7;42
2014;12;Fonna;3;0;4;4;6;14
2014;12;Fonna;3;1;10;9;9;28
2014;13;Stavanger;1;0;23;9;6;38
2014;13;Stavanger;1;1;50;12;8;70
2014;13;Stavanger;2;0;15;15;11;41
2014;13;Stavanger;2;1;40;13;18;71
2014;13;Stavanger;3;0;12;8;21;41
2014;13;Stavanger;3;1;20;12;29;61
2014;14;Østfold;1;0;11;2;2;15
2014;14;Østfold;1;1;54;5;9;68
2014;14;Østfold;2;0;12;2;5;19
2014;14;Østfold;2;1;44;3;10;57
2014;14;Østfold;3;0;13;2;12;27
2014;14;Østfold;3;1;25;15;14;54
2014;15;Akershus;1;0;4;0;0;4
2014;15;Akershus;1;1;16;2;0;18
2014;15;Akershus;2;0;0;0;1;1
2014;15;Akershus;2;1;4;0;3;7
2014;15;Akershus;3;0;1;0;2;3
2014;15;Akershus;3;1;6;0;3;9
2014;16;Oslo;1;0;13;3;6;22
2014;16;Oslo;1;1;81;5;10;96
2014;16;Oslo;2;0;20;3;10;33
2014;16;Oslo;2;1;72;8;15;95
2014;16;Oslo;3;0;11;4;24;39
2014;16;Oslo;3;1;37;12;14;63
2014;19;Innlandet;1;0;24;6;10;40
2014;19;Innlandet;1;1;67;14;15;96
2014;19;Innlandet;2;0;12;6;10;28
2014;19;Innlandet;2;1;48;10;32;90
2014;19;Innlandet;3;0;10;7;35;52
2014;19;Innlandet;3;1;41;13;27;81
2014;20;Vestre Viken;1;0;30;9;16;55
2014;20;Vestre Viken;1;1;100;12;17;129
2014;20;Vestre Viken;2;0;23;11;13;47
2014;20;Vestre Viken;2;1;67;18;20;105
2014;20;Vestre Viken;3;0;29;12;20;61
2014;20;Vestre Viken;3;1;40;20;18;78
2014;21;Vestfold;1;0;17;3;3;23
2014;21;Vestfold;1;1;52;6;7;65
2014;21;Vestfold;2;0;15;3;5;23
2014;21;Vestfold;2;1;43;5;9;57
2014;21;Vestfold;3;0;6;3;11;20
2014;21;Vestfold;3;1;25;12;12;49
2014;22;Telemark;1;0;14;2;4;20
2014;22;Telemark;1;1;47;2;9;58
2014;22;Telemark;2;0;12;2;4;18
2014;22;Telemark;2;1;35;1;6;42
2014;22;Telemark;3;0;16;6;8;30
2014;22;Telemark;3;1;33;3;14;50
2014;23;Sørlandet;1;0;16;0;1;17
2014;23;Sørlandet;1;1;55;1;4;60
2014;23;Sørlandet;2;0;20;1;2;23
2014;23;Sørlandet;2;1;44;2;6;52
2014;23;Sørlandet;3;0;16;0;4;20
2014;23;Sørlandet;3;1;32;3;3;38
2015;1;Finnmark;1;0;4;4;2;10
2015;1;Finnmark;1;1;18;7;7;32
2015;1;Finnmark;2;0;1;3;10;14
2015;1;Finnmark;2;1;7;4;3;14
2015;1;Finnmark;3;0;3;3;6;12
2015;1;Finnmark;3;1;12;5;14;31
2015;2;UNN;1;0;9;0;1;10
2015;2;UNN;1;1;49;4;2;55
2015;2;UNN;2;0;20;2;4;26
2015;2;UNN;2;1;58;10;6;74
2015;2;UNN;3;0;9;3;2;14
2015;2;UNN;3;1;31;7;12;50
2015;3;Nordland;1;0;7;4;3;14
2015;3;Nordland;1;1;27;9;6;42
2015;3;Nordland;2;0;9;2;6;17
2015;3;Nordland;2;1;25;12;9;46
2015;3;Nordland;3;0;8;5;12;25
2015;3;Nordland;3;1;12;4;12;28
2015;4;Helgeland;1;0;5;0;3;8
2015;4;Helgeland;1;1;14;5;8;27
2015;4;Helgeland;2;0;1;0;2;3
2015;4;Helgeland;2;1;11;5;9;25
2015;4;Helgeland;3;0;1;6;7;14
2015;4;Helgeland;3;1;11;8;7;26
2015;6;Nord-Trøndelag;1;0;5;1;3;9
2015;6;Nord-Trøndelag;1;1;23;3;4;30
2015;6;Nord-Trøndelag;2;0;9;2;12;23
2015;6;Nord-Trøndelag;2;1;14;7;15;36
2015;6;Nord-Trøndelag;3;0;2;2;11;15
2015;6;Nord-Trøndelag;3;1;9;13;12;34
2015;7;St. Olavs;1;0;16;2;3;21
2015;7;St. Olavs;1;1;43;7;5;55
2015;7;St. Olavs;2;0;16;6;5;27
2015;7;St. Olavs;2;1;47;12;7;66
2015;7;St. Olavs;3;0;9;3;11;23
2015;7;St. Olavs;3;1;21;8;16;45
2015;8;Møre og Romsdal;1;0;6;10;6;22
2015;8;Møre og Romsdal;1;1;26;20;20;66
2015;8;Møre og Romsdal;2;0;7;8;13;28
2015;8;Møre og Romsdal;2;1;32;15;20;67
2015;8;Møre og Romsdal;3;0;5;12;22;39
2015;8;Møre og Romsdal;3;1;12;18;28;58
2015;10;Førde;1;0;2;1;1;4
2015;10;Førde;1;1;10;2;3;15
2015;10;Førde;2;0;6;3;5;14
2015;10;Førde;2;1;11;9;4;24
2015;10;Førde;3;0;2;3;10;15
2015;10;Førde;3;1;3;6;7;16
2015;11;Bergen;1;0;20;10;4;34
2015;11;Bergen;1;1;91;24;6;121
2015;11;Bergen;2;0;21;13;9;43
2015;11;Bergen;2;1;51;25;13;89
2015;11;Bergen;3;0;22;9;24;55
2015;11;Bergen;3;1;35;18;30;83
2015;12;Fonna;1;0;6;4;6;16
2015;12;Fonna;1;1;32;10;8;50
2015;12;Fonna;2;0;6;6;11;23
2015;12;Fonna;2;1;7;9;9;25
2015;12;Fonna;3;0;5;6;7;18
2015;12;Fonna;3;1;6;7;8;21
2015;13;Stavanger;1;0;24;8;3;35
2015;13;Stavanger;1;1;57;19;6;82
2015;13;Stavanger;2;0;8;5;10;23
2015;13;Stavanger;2;1;37;26;12;75
2015;13;Stavanger;3;0;11;12;22;45
2015;13;Stavanger;3;1;17;15;27;59
2015;14;Østfold;1;0;5;2;4;11
2015;14;Østfold;1;1;36;6;9;51
2015;14;Østfold;2;0;8;2;6;16
2015;14;Østfold;2;1;29;5;10;44
2015;14;Østfold;3;0;14;5;5;24
2015;14;Østfold;3;1;15;11;11;37
2015;15;Akershus;1;0;20;5;6;31
2015;15;Akershus;1;1;71;8;6;85
2015;15;Akershus;2;0;14;4;6;24
2015;15;Akershus;2;1;57;10;17;84
2015;15;Akershus;3;0;12;11;13;36
2015;15;Akershus;3;1;26;16;16;58
2015;16;Oslo;1;0;17;5;10;32
2015;16;Oslo;1;1;102;11;17;130
2015;16;Oslo;2;0;27;1;16;44
2015;16;Oslo;2;1;55;13;16;84
2015;16;Oslo;3;0;17;3;21;41
2015;16;Oslo;3;1;42;8;22;72
2015;19;Innlandet;1;0;28;3;2;33
2015;19;Innlandet;1;1;83;14;16;113
2015;19;Innlandet;2;0;22;10;9;41
2015;19;Innlandet;2;1;64;13;20;97
2015;19;Innlandet;3;0;20;12;34;66
2015;19;Innlandet;3;1;35;15;29;79
2015;20;Vestre Viken;1;0;17;6;10;33
2015;20;Vestre Viken;1;1;89;8;15;112
2015;20;Vestre Viken;2;0;26;7;15;48
2015;20;Vestre Viken;2;1;68;20;12;100
2015;20;Vestre Viken;3;0;29;10;22;61
2015;20;Vestre Viken;3;1;29;21;17;67
2015;21;Vestfold;1;0;19;2;4;25
2015;21;Vestfold;1;1;62;5;8;75
2015;21;Vestfold;2;0;12;8;4;24
2015;21;Vestfold;2;1;31;12;10;53
2015;21;Vestfold;3;0;10;4;8;22
2015;21;Vestfold;3;1;15;7;8;30
2015;22;Telemark;1;0;12;1;4;17
2015;22;Telemark;1;1;52;1;11;64
2015;22;Telemark;2;0;17;3;5;25
2015;22;Telemark;2;1;30;3;9;42
2015;22;Telemark;3;0;11;1;10;22
2015;22;Telemark;3;1;22;7;24;53
2015;23;Sørlandet;1;0;11;0;1;12
2015;23;Sørlandet;1;1;69;1;4;74
2015;23;Sørlandet;2;0;14;0;3;17
2015;23;Sørlandet;2;1;48;0;10;58
2015;23;Sørlandet;3;0;16;0;4;20
2015;23;Sørlandet;3;1;20;0;4;24
2013;9999;Norge;1;0;166;53;69;288
2013;9999;Norge;1;1;717;212;136;1065
2013;9999;Norge;2;0;164;83;119;366
2013;9999;Norge;2;1;496;229;192;917
2013;9999;Norge;3;0;165;95;193;453
2013;9999;Norge;3;1;283;173;272;728
2014;9999;Norge;1;0;239;55;83;377
2014;9999;Norge;1;1;847;172;144;1163
2014;9999;Norge;2;0;214;85;117;416
2014;9999;Norge;2;1;623;201;220;1044
2014;9999;Norge;3;0;191;89;241;521
2014;9999;Norge;3;1;418;190;263;871
2015;9999;Norge;1;0;233;68;76;377
2015;9999;Norge;1;1;954;164;161;1279
2015;9999;Norge;2;0;244;85;151;480
2015;9999;Norge;2;1;682;210;211;1103
2015;9999;Norge;3;0;206;110;251;567
2015;9999;Norge;3;1;373;194;304;871
