aar;BoHF;BoHF_txt;ald_gr;ErMann;TellerC;NevnerC
2014;1;Finnmark;1;0;18;20
2014;1;Finnmark;1;1;37;43
2014;1;Finnmark;2;0;13;16
2014;1;Finnmark;2;1;17;20
2014;1;Finnmark;3;0;15;16
2014;1;Finnmark;3;1;15;17
2014;2;UNN;1;0;43;47
2014;2;UNN;1;1;70;79
2014;2;UNN;2;0;40;46
2014;2;UNN;2;1;67;70
2014;2;UNN;3;0;79;90
2014;2;UNN;3;1;59;71
2014;3;Nordland;1;0;25;28
2014;3;Nordland;1;1;79;83
2014;3;Nordland;2;0;43;45
2014;3;Nordland;2;1;51;56
2014;3;Nordland;3;0;47;49
2014;3;Nordland;3;1;45;47
2014;4;Helgeland;1;0;13;17
2014;4;Helgeland;1;1;33;35
2014;4;Helgeland;2;0;20;25
2014;4;Helgeland;2;1;30;36
2014;4;Helgeland;3;0;35;41
2014;4;Helgeland;3;1;19;20
2014;6;Nord-Trøndelag;1;0;33;35
2014;6;Nord-Trøndelag;1;1;75;78
2014;6;Nord-Trøndelag;2;0;43;44
2014;6;Nord-Trøndelag;2;1;66;68
2014;6;Nord-Trøndelag;3;0;56;62
2014;6;Nord-Trøndelag;3;1;30;32
2014;7;St. Olavs;1;0;81;86
2014;7;St. Olavs;1;1;113;128
2014;7;St. Olavs;2;0;68;77
2014;7;St. Olavs;2;1;106;122
2014;7;St. Olavs;3;0;110;138
2014;7;St. Olavs;3;1;66;84
2014;8;Møre og Romsdal;1;0;51;58
2014;8;Møre og Romsdal;1;1;86;91
2014;8;Møre og Romsdal;2;0;58;65
2014;8;Møre og Romsdal;2;1;87;94
2014;8;Møre og Romsdal;3;0;107;115
2014;8;Møre og Romsdal;3;1;72;76
2014;10;Førde;1;0;12;23
2014;10;Førde;1;1;23;48
2014;10;Førde;2;0;11;27
2014;10;Førde;2;1;14;32
2014;10;Førde;3;0;26;57
2014;10;Førde;3;1;23;40
2014;11;Bergen;1;0;65;65
2014;11;Bergen;1;1;107;112
2014;11;Bergen;2;0;73;75
2014;11;Bergen;2;1;92;95
2014;11;Bergen;3;0;135;138
2014;11;Bergen;3;1;74;78
2014;12;Fonna;1;0;29;31
2014;12;Fonna;1;1;60;73
2014;12;Fonna;2;0;37;41
2014;12;Fonna;2;1;43;51
2014;12;Fonna;3;0;62;71
2014;12;Fonna;3;1;36;43
2014;13;Stavanger;1;0;54;54
2014;13;Stavanger;1;1;88;88
2014;13;Stavanger;2;0;48;48
2014;13;Stavanger;2;1;57;58
2014;13;Stavanger;3;0;73;73
2014;13;Stavanger;3;1;57;57
2014;14;Østfold;1;0;71;74
2014;14;Østfold;1;1;118;121
