Boområde;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015
Finnmark;10;14;14;9;15;11;11;10;8;2;2;4
UNN;32;18;46;34;34;42;24;37;27;6;13;8
Nordlandssykehuset;10;12;11;25;31;24;24;24;21;5;6;7
Helgelandssykehuset;7;15;6;13;21;16;11;18;13;2;7;1
Nord-Trøndelag;17;11;16;51;37;49;25;34;15;4;5;4
St. Olavs;40;23;32;82;72;66;53;52;51;9;10;11
Møre og Romsdal;46;48;36;48;59;65;63;58;53;13;12;5
Førde;6;5;3;33;41;23;12;12;15;6;6;8
Bergen;60;56;60;85;100;75;81;59;46;21;16;22
Fonna;24;16;27;49;47;39;21;9;23;8;8;6
Stavanger;39;36;26;57;78;84;51;59;68;2;13;7
Østfold;25;41;31;102;104;86;41;37;51;15;12;12
Ahus;51;51;56;113;117;109;70;78;85;29;30;24
OUS;20;24;28;54;53;57;36;35;26;14;12;9
Diakonhjemmet;21;25;22;30;45;42;14;15;9;16;14;7
Lovisenberg;13;10;17;34;33;28;15;19;15;7;6;5
Innlandet;67;59;54;120;104;125;47;45;55;14;11;16
Vestre Viken;42;51;50;131;155;125;85;85;77;20;31;27
Vestfold;27;31;26;66;50;57;28;36;32;20;15;14
Telemark;15;25;45;42;42;47;26;23;31;7;9;3
Sørlandet;36;48;42;76;73;92;23;26;29;16;20;12
Norge;608;619;648;1254;1311;1262;761;771;750;236;258;212
