Teknikk;Ermann;Bohf;Antall;aldergr;aar;teknikk_txt;bohf_txt
1;0;1;1;1;2013;Pinning;Finnmark
1;0;1;0;1;2014;Pinning;Finnmark
1;0;1;0;1;2015;Pinning;Finnmark
1;0;1;0;2;2013;Pinning;Finnmark
1;0;1;2;2;2014;Pinning;Finnmark
1;0;1;0;2;2015;Pinning;Finnmark
1;0;1;1;3;2013;Pinning;Finnmark
1;0;1;0;3;2014;Pinning;Finnmark
1;0;1;0;3;2015;Pinning;Finnmark
1;0;1;0;4;2013;Pinning;Finnmark
1;0;1;1;4;2014;Pinning;Finnmark
1;0;1;0;4;2015;Pinning;Finnmark
1;0;2;1;1;2013;Pinning;UNN
1;0;2;1;1;2014;Pinning;UNN
1;0;2;1;1;2015;Pinning;UNN
1;0;2;1;2;2013;Pinning;UNN
1;0;2;4;2;2014;Pinning;UNN
1;0;2;1;2;2015;Pinning;UNN
1;0;2;0;3;2013;Pinning;UNN
1;0;2;2;3;2014;Pinning;UNN
1;0;2;3;3;2015;Pinning;UNN
1;0;2;3;4;2013;Pinning;UNN
1;0;2;2;4;2014;Pinning;UNN
1;0;2;2;4;2015;Pinning;UNN
1;0;3;0;1;2013;Pinning;Nordland
1;0;3;1;1;2014;Pinning;Nordland
1;0;3;1;1;2015;Pinning;Nordland
1;0;3;0;2;2013;Pinning;Nordland
1;0;3;2;2;2014;Pinning;Nordland
1;0;3;1;2;2015;Pinning;Nordland
1;0;3;0;3;2013;Pinning;Nordland
1;0;3;1;3;2014;Pinning;Nordland
1;0;3;0;3;2015;Pinning;Nordland
1;0;3;1;4;2013;Pinning;Nordland
1;0;3;1;4;2014;Pinning;Nordland
1;0;3;0;4;2015;Pinning;Nordland
1;0;4;1;1;2013;Pinning;Helgeland
1;0;4;1;1;2014;Pinning;Helgeland
1;0;4;0;1;2015;Pinning;Helgeland
1;0;4;1;2;2013;Pinning;Helgeland
1;0;4;2;2;2014;Pinning;Helgeland
1;0;4;1;2;2015;Pinning;Helgeland
1;0;4;1;3;2013;Pinning;Helgeland
1;0;4;3;3;2014;Pinning;Helgeland
1;0;4;1;3;2015;Pinning;Helgeland
1;0;4;0;4;2013;Pinning;Helgeland
1;0;4;1;4;2014;Pinning;Helgeland
