bohf_txt;aar;alder;ermann;teknikk;Antall;bohf
Finnmark;2013;1;1;Pinning;0;1
UNN;2013;1;1;Pinning;2;2
Nordland;2013;1;1;Pinning;0;3
Helgeland;2013;1;1;Pinning;2;4
Nord-Trøndelag;2013;1;1;Pinning;2;6
St. Olavs;2013;1;1;Pinning;2;7
Møre og Romsdal;2013;1;1;Pinning;0;8
Førde;2013;1;1;Pinning;0;10
Bergen;2013;1;1;Pinning;2;11
Fonna;2013;1;1;Pinning;3;12
Stavanger;2013;1;1;Pinning;3;13
Østfold;2013;1;1;Pinning;0;14
Akershus;2013;1;1;Pinning;1;15
OUS;2013;1;1;Pinning;0;16
Innlandet;2013;1;1;Pinning;1;19
Vestre Viken;2013;1;1;Pinning;0;20
Vestfold;2013;1;1;Pinning;2;21
Telemark;2013;1;1;Pinning;0;22
Sørlandet;2013;1;1;Pinning;1;23
Norge;2013;1;1;Pinning;21;9999
Finnmark;2014;1;1;Pinning;0;1
UNN;2014;1;1;Pinning;0;2
Nordland;2014;1;1;Pinning;1;3
Helgeland;2014;1;1;Pinning;1;4
Nord-Trøndelag;2014;1;1;Pinning;0;6
St. Olavs;2014;1;1;Pinning;2;7
Møre og Romsdal;2014;1;1;Pinning;1;8
Førde;2014;1;1;Pinning;0;10
Bergen;2014;1;1;Pinning;1;11
Fonna;2014;1;1;Pinning;0;12
Stavanger;2014;1;1;Pinning;1;13
Østfold;2014;1;1;Pinning;0;14
Akershus;2014;1;1;Pinning;2;15
OUS;2014;1;1;Pinning;0;16
Innlandet;2014;1;1;Pinning;1;19
Vestre Viken;2014;1;1;Pinning;1;20
Vestfold;2014;1;1;Pinning;0;21
Telemark;2014;1;1;Pinning;0;22
Sørlandet;2014;1;1;Pinning;0;23
Norge;2014;1;1;Pinning;11;9999
Finnmark;2015;1;1;Pinning;1;1
UNN;2015;1;1;Pinning;0;2
Nordland;2015;1;1;Pinning;0;3
Helgeland;2015;1;1;Pinning;2;4
Nord-Trøndelag;2015;1;1;Pinning;1;6
St. Olavs;2015;1;1;Pinning;1;7
Møre og Romsdal;2015;1;1;Pinning;1;8
Førde;2015;1;1;Pinning;0;10
Bergen;2015;1;1;Pinning;2;11
Fonna;2015;1;1;Pinning;0;12
Stavanger;2015;1;1;Pinning;2;13
Østfold;2015;1;1;Pinning;0;14
Akershus;2015;1;1;Pinning;2;15
OUS;2015;1;1;Pinning;1;16
Innlandet;2015;1;1;Pinning;3;19
Vestre Viken;2015;1;1;Pinning;2;20
Vestfold;2015;1;1;Pinning;0;21
Telemark;2015;1;1;Pinning;0;22
Sørlandet;2015;1;1;Pinning;1;23
Norge;2015;1;1;Pinning;19;9999
Finnmark;2013;2;1;Pinning;1;1
UNN;2013;2;1;Pinning;1;2
Nordland;2013;2;1;Pinning;0;3
Helgeland;2013;2;1;Pinning;0;4
Nord-Trøndelag;2013;2;1;Pinning;0;6
St. Olavs;2013;2;1;Pinning;0;7
Møre og Romsdal;2013;2;1;Pinning;0;8
Førde;2013;2;1;Pinning;1;10
Bergen;2013;2;1;Pinning;3;11
Fonna;2013;2;1;Pinning;0;12
Stavanger;2013;2;1;Pinning;2;13
Østfold;2013;2;1;Pinning;0;14
Akershus;2013;2;1;Pinning;0;15
OUS;2013;2;1;Pinning;0;16
Innlandet;2013;2;1;Pinning;1;19
Vestre Viken;2013;2;1;Pinning;0;20
Vestfold;2013;2;1;Pinning;0;21
Telemark;2013;2;1;Pinning;0;22
Sørlandet;2013;2;1;Pinning;1;23
Norge;2013;2;1;Pinning;10;9999
