Bohf;Bohf_num;aar;rate1000;antall;Innbyggere
1;Finnmark;2013;2.99;33;12005
2;UNN;2013;2.84;89;31505
3;Nordland;2013;4.12;102;24359
4;Helgeland;2013;2.38;36;14941
6;Nord-Trøndelag;2013;3.29;85;25229
7;St. Olavs;2013;4.02;192;46912
8;Møre og Romsdal;2013;3.44;171;45325
10;Førde;2013;2.45;55;19847
11;Bergen;2013;4.32;292;64341
12;Fonna;2013;4.17;129;28706
13;Stavanger;2013;4.11;181;43423
14;Østfold;2013;5.08;255;50336
15;Akershus;2013;3.74;189;55269
16;OUS;2013;4;329;76998
19;Innlandet;2013;3.6;293;78307
20;Vestre Viken;2013;3.9;311;77048
21;Vestfold;2013;3.96;161;39620
22;Telemark;2013;3.26;109;31974
23;Sørlandet;2013;3.51;164;46283
1;Finnmark;2014;3.66;42;12367
2;UNN;2014;2.69;85;32386
3;Nordland;2014;4.29;108;25039
4;Helgeland;2014;2.64;40;15272
6;Nord-Trøndelag;2014;3.13;82;25799
7;St. Olavs;2014;4.55;221;48157
8;Møre og Romsdal;2014;3.76;188;46443
10;Førde;2014;1.99;44;20236
11;Bergen;2014;3.94;272;66045
12;Fonna;2014;3.52;110;29584
13;Stavanger;2014;3.91;175;44854
14;Østfold;2014;4.48;227;51679
15;Akershus;2014;4.07;211;57310
16;OUS;2014;4.22;354;78808
19;Innlandet;2014;3.79;312;80133
20;Vestre Viken;2014;3.79;307;79120
21;Vestfold;2014;4.03;166;40670
22;Telemark;2014;3.98;135;32668
23;Sørlandet;2014;3.96;188;47587
1;Finnmark;2015;2.6;30;12761
2;UNN;2015;3.4;109;33260
3;Nordland;2015;3.52;89;25584
4;Helgeland;2015;2.72;42;15501
6;Nord-Trøndelag;2015;3.01;79;26463
7;St. Olavs;2015;4.13;202;49279
8;Møre og Romsdal;2015;3.19;161;47649
10;Førde;2015;2.02;46;20636
11;Bergen;2015;3.72;259;67711
12;Fonna;2015;3.84;120;30361
13;Stavanger;2015;3.58;163;46369
14;Østfold;2015;4.63;238;53015
15;Akershus;2015;4.13;220;59067
16;OUS;2015;3.66;304;80345
19;Innlandet;2015;3.69;304;81797
20;Vestre Viken;2015;3.64;297;81066
21;Vestfold;2015;3.22;135;41771
22;Telemark;2015;3.95;133;33398
23;Sørlandet;2015;4.19;201;48887
9999;Norge;2013;3.8;3176;812428
9999;Norge;2014;3.86;3267;834157
9999;Norge;2015;3.66;3132;854920
