Behandlende sykehus;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015
Sykehuset Østfold HF - Fredrikstad/Kalnes;34;39;53;65;70;46;50;53;49;12;16;13
AHUS HF;52;62;62;53;54;54;56;59;61;17;16;33
OUS HF;77;76;87;123;121;117;113;139;109;58;49;46
Sykehuset Innlandet HF - Hamar;45;42;61;55;55;54;58;48;57;28;7;17
Vestre Viken HF - Drammen;100;120;94;42;42;62;74;104;80;12;9;24
Sykehuset i Vestfold HF - Tønsberg;34;33;28;26;26;43;27;34;25;8;5;18
Sykehuset Telemark HF - Porsgrunn;29;44;60;19;14;22;17;12;19;12;15;4
Sørlandet sykehus HF - Kristiansand;45;45;42;47;39;53;25;35;52;12;12;7
Helse Fonna HF - Haugesund;11;14;12;9;4;13;17;11;19;1;2;4
Helse Stavanger HF - Stavanger;33;26;39;64;67;64;67;96;100;3;6;6
Helse Bergen HF - Haukeland;26;42;67;73;78;57;97;66;38;62;72;90
Helse Førde HF - Førde;5;3;5;11;12;14;31;24;18;5;2;11
Helse Møre og Romsdal HF - Molde;12;18;23;12;13;15;12;13;16;;2;2
Helse Møre og Romsdal HF - Ålesund;51;30;24;13;24;24;21;25;17;15;31;25
St. Olavs Hospital HF - Trondheim;38;31;57;58;53;48;63;41;33;34;39;33
Helse Nord-Trøndelag HF - Levanger;5;8;7;14;14;8;14;15;3;9;7;6
Helse Nord-Trøndelag HF - Namsos;2;1;8;3;4;3;4;6;2;3;3;1
Nordlandssykehuset HF - Bodø;20;26;14;29;37;21;24;25;31;8;22;16
UNN HF - Tromsø;28;33;41;31;25;43;24;38;37;31;26;23
Andre sykehus;7;13;6;8;9;8;11;21;15;17;14;20
Norge;654;706;790;755;761;769;805;865;781;347;355;399
