bohf_txt;aar;bohf;andel24;andel48;antall;antall24;antall48
Finnmark;2013;1;0.781;0.925;87;66;79
UNN;2013;2;0.692;0.930;255;177;237
Nordland;2013;3;0.637;0.958;260;165;249
Helgeland;2013;4;0.661;0.926;121;81;110
Nord-Trøndelag;2013;6;0.709;0.966;243;172;235
St. Olavs;2013;7;0.618;0.937;483;297;453
Møre og Romsdal;2013;8;0.808;0.948;483;390;458
Førde;2013;10;0.697;0.946;187;133;178
Bergen;2013;11;0.615;0.917;607;374;557
Fonna;2013;12;0.571;0.894;302;177;272
Stavanger;2013;13;0.723;0.959;244;174;234
Østfold;2013;14;0.305;0.743;530;161;393
Akershus;2013;15;0.490;0.911;212;105;194
OUS;2013;16;0.570;0.878;314;181;278
Lovisenberg;2013;17;0.730;0.936;155;113;145
Diakonhjemmet;2013;18;0.746;0.955;188;139;180
Innlandet;2013;19;0.783;0.965;819;639;790
Vestre Viken;2013;20;0.727;0.967;725;526;701
Vestfold;2013;21;0.368;0.819;338;125;276
Telemark;2013;22;0.580;0.900;169;99;153
Sørlandet;2013;23;0.668;0.958;82;54;78
Finnmark;2014;1;0.822;0.889;89;72;79
UNN;2014;2;0.682;0.931;256;176;238
Nordland;2014;3;0.659;0.948;225;148;213
Helgeland;2014;4;0.655;0.894;132;88;119
Nord-Trøndelag;2014;6;0.627;0.933;230;145;215
St. Olavs;2014;7;0.621;0.920;458;282;422
Møre og Romsdal;2014;8;0.807;0.966;459;372;444
Førde;2014;10;0.673;0.935;187;127;175
Bergen;2014;11;0.632;0.918;655;414;602
Fonna;2014;12;0.578;0.840;275;159;232
Stavanger;2014;13;0.665;0.948;386;257;366
Østfold;2014;14;0.494;0.880;503;249;444
Akershus;2014;15;0.573;0.945;531;304;502
OUS;2014;16;0.628;0.928;309;195;288
Lovisenberg;2014;17;0.708;0.951;160;112;153
Diakonhjemmet;2014;18;0.712;0.985;197;142;194
Innlandet;2014;19;0.802;0.970;772;618;749
Vestre Viken;2014;20;0.696;0.944;707;492;667
Vestfold;2014;21;0.568;0.921;373;211;344
Telemark;2014;22;0.616;0.921;261;162;241
Sørlandet;2014;23;0.743;0.947;279;207;264
Finnmark;2015;1;0.676;0.942;91;62;86
UNN;2015;2;0.649;0.893;269;173;240
Nordland;2015;3;0.701;0.950;229;160;217
Helgeland;2015;4;0.718;0.904;143;102;130
Nord-Trøndelag;2015;6;0.698;0.958;240;164;228
St. Olavs;2015;7;0.566;0.894;439;247;392
Møre og Romsdal;2015;8;0.770;0.965;462;354;446
Førde;2015;10;0.757;0.944;182;137;172
Bergen;2015;11;0.628;0.953;601;377;573
Fonna;2015;12;0.698;0.923;273;191;252
Stavanger;2015;13;0.692;0.962;368;255;354
Østfold;2015;14;0.465;0.829;546;252;452
Akershus;2015;15;0.556;0.939;629;348;590
OUS;2015;16;0.582;0.930;329;193;307
Lovisenberg;2015;17;0.611;0.940;139;85;130
Diakonhjemmet;2015;18;0.634;0.942;163;104;154
Innlandet;2015;19;0.775;0.968;782;603;756
Vestre Viken;2015;20;0.674;0.957;748;505;715
Vestfold;2015;21;0.606;0.931;341;207;318
Telemark;2015;22;0.647;0.903;310;201;280
Sørlandet;2015;23;0.711;0.945;348;248;329
Norge;2013;9998;0.639;0.919;6804;4348;6250
Norge;2014;9998;0.662;0.934;7444;4932;6951
Norge;2015;9998;0.651;0.933;7632;4968;7121
