aar;BoHF;BoHF_txt;Rate_Prolapskirurgi;Ant_Innbyggere;Ant_Opphold
2013;1;Finnmark;50.1896916;55707;28
2013;2;UNN;38.48078632;139501;53
2013;3;Nordland;24.19077362;100484;24
2013;4;Helgeland;38.20157498;57582;21
2013;6;Nord-Trøndelag;82.95599519;99154;84
2013;7;St. Olavs;61.98569555;226864;140
2013;8;Møre og Romsdal;35.32623858;188829;67
2013;10;Førde;50.00174938;78082;38
2013;11;Bergen;48.71739032;317256;154
2013;12;Fonna;41.63003173;127087;53
2013;13;Stavanger;74.23745742;251266;185
2013;14;Østfold;47.87215566;210236;99
2013;15;Ahus;63.61247065;351733;227
2013;16;OUS;53.78437913;158389;84
2013;17;Lovisenberg;25.91750052;146703;32
2013;18;Diakonhjemmet;31.13812043;103730;31
2013;19;Innlandet;57.99156089;296217;172
2013;20;Vestre Viken;70.47957352;342710;244
2013;21;Vestfold;67.85572442;166099;110
2013;22;Telemark;36.82601128;127321;46
2013;23;Sørlandet;61.24679106;210585;129
2014;1;Finnmark;38.0843896;56222;22
2014;2;UNN;48.10036121;141501;68
2014;3;Nordland;43.64055018;101295;43
2014;4;Helgeland;37.22275675;57924;21
2014;6;Nord-Trøndelag;83.41402169;100054;83
2014;7;St. Olavs;54.68812946;230380;125
2014;8;Møre og Romsdal;43.62373894;190936;82
2014;10;Førde;54.49658269;78574;43
2014;11;Bergen;49.62069723;322549;158
2014;12;Fonna;44.99040162;128552;58
2014;13;Stavanger;52.50968641;256326;132
2014;14;Østfold;51.05170132;212341;108
2014;15;Ahus;62.56243701;357347;227
2014;16;OUS;44.85443099;161390;71
2014;17;Lovisenberg;40.51743535;151696;58
2014;18;Diakonhjemmet;40.81005077;105568;40
2014;19;Innlandet;59.66362431;298508;177
2014;20;Vestre Viken;68.20375358;347945;242
2014;21;Vestfold;60.62157028;168018;101
2014;22;Telemark;35.31989493;128017;45
2014;23;Sørlandet;57.02638868;213908;122
2015;1;Finnmark;60.42721437;56651;34
2015;2;UNN;76.11333299;142656;108
2015;3;Nordland;41.10815982;102014;42
2015;4;Helgeland;38.58400902;58164;21
2015;6;Nord-Trøndelag;82.77053877;100847;83
2015;7;St. Olavs;55.73798771;233422;130
2015;8;Møre og Romsdal;49.04628418;192614;94
2015;10;Førde;53.20341964;79126;42
2015;11;Bergen;40.03256705;326959;131
2015;12;Fonna;41.7667203;129575;54
2015;13;Stavanger;65.32017242;259072;165
2015;14;Østfold;64.91608566;214906;139
2015;15;Ahus;57.10907377;364077;213
2015;16;OUS;52.40830834;162325;85
2015;17;Lovisenberg;52.13155997;156795;83
2015;18;Diakonhjemmet;49.82302982;107574;52
2015;19;Innlandet;50.50779042;300038;148
2015;20;Vestre Viken;66.63518347;352590;236
2015;21;Vestfold;67.08784726;170159;115
2015;22;Telemark;39.42376606;128979;50
2015;23;Sørlandet;64.06723193;216707;139
2013;9999;Norge;53.78044462;3755535;2021
2014;9999;Norge;53.17814011;3809051;2026
2015;9999;Norge;56.1312496;3855250;2164
