aar;BoHF;BoHF_txt;Rate_kneprotese;Ant_Innbyggere;Ant_Opphold
2013;1;Finnmark;1.7403571252;37835;65
2013;2;UNN;1.9871347517;94264;190
2013;3;Nordland;1.7994734554;70371;130
2013;4;Helgeland;2.1156824742;41711;92
2013;6;Nord-Trøndelag;2.8944737697;70814;212
2013;7;St. Olavs;2.1652305497;143977;312
2013;8;Møre og Romsdal;2.1493188562;131086;290
2013;10;Førde;2.7815476263;55678;159
2013;11;Bergen;1.7902649234;199089;352
2013;12;Fonna;2.3537674571;85719;206
2013;13;Stavanger;1.6997335608;152589;240
2013;14;Østfold;2.2628295107;147803;341
2013;15;Akershus;1.811222791;185707;317
2013;16;OUS;1.8286189261;263364;454
2013;19;Innlandet;2.1277777776;216443;483
2013;20;Vestre Viken;2.081494351;238009;491
2013;21;Vestfold;1.5963114606;116957;190
2013;22;Telemark;1.7216456519;91075;164
2013;23;Sørlandet;2.0837404566;140760;295
2014;1;Finnmark;1.7461403703;38190;67
2014;2;UNN;1.9842631733;95339;194
2014;3;Nordland;1.8380044328;71019;136
2014;4;Helgeland;2.2277108315;41950;98
2014;6;Nord-Trøndelag;2.9592340005;71380;222
2014;7;St. Olavs;2.3390127414;146208;344
2014;8;Møre og Romsdal;2.4999398035;132550;342
2014;10;Førde;2.3924680272;56075;140
2014;11;Bergen;1.7532601737;202392;353
2014;12;Fonna;2.5474620254;86914;227
2014;13;Stavanger;1.7914408465;155824;263
2014;14;Østfold;2.7234303168;150040;421
2014;15;Akershus;2.1012893119;190031;381
2014;16;OUS;1.841174541;269255;465
2014;19;Innlandet;2.2832225163;218174;527
2014;20;Vestre Viken;2.2941475912;242152;554
2014;21;Vestfold;2.301174975;118588;281
2014;22;Telemark;2.0794360804;91872;200
2014;23;Sørlandet;2.3780958736;143160;345
2015;1;Finnmark;1.872719054;38528;73
2015;2;UNN;2.1976892708;96043;219
2015;3;Nordland;1.9884795551;71494;149
2015;4;Helgeland;2.0382625883;42096;91
2015;6;Nord-Trøndelag;2.5130307809;71915;193
2015;7;St. Olavs;2.4501841425;148001;367
2015;8;Møre og Romsdal;2.3512785102;133704;326
2015;10;Førde;2.9816380844;56397;175
2015;11;Bergen;2.0905167307;205481;431
2015;12;Fonna;2.3551251259;88040;214
2015;13;Stavanger;2.0526840893;158573;308
2015;14;Østfold;2.0218513854;152195;318
2015;15;Akershus;2.5147943725;193945;469
2015;16;OUS;2.0975353609;274214;542
2015;19;Innlandet;2.357456483;219640;556
2015;20;Vestre Viken;2.3848101937;245728;591
2015;21;Vestfold;2.7772297934;120242;347
2015;22;Telemark;2.2896997172;92634;225
2015;23;Sørlandet;2.9049072295;145328;431
2013;9999;Norge;2.0066437102;2483251;4983
2014;9999;Norge;2.1899604159;2521113;5560
2015;9999;Norge;2.3223666208;2554198;6025
