Aar;Sykehus;BehSh;under30min;over30min;Nevner
2015;AHUS HF;160;9;25;34
2015;Diakonhjemmet sykehus;230;0;1;1
2015;Feiringklinikken;301;2;1;3
2015;Finnmarksykehuset HF - Hammerfest;12;0;5;5
2015;Finnmarksykehuset HF - Kirkenes;11;0;1;1
2015;Haraldsplass Diakonale Sykehus;260;0;1;1
2015;Helgelandssykehuset HF - Mo i Rana;41;4;19;23
2015;Helgelandssykehuset HF - Mosjøen;42;0;10;10
2015;Helgelandssykehuset HF - Sandnessjøen;43;3;5;8
2015;Helse Bergen HF - Haukeland;101;87;120;207
2015;Helse Bergen HF - Voss;103;0;6;6
2015;Helse Fonna HF - Haugesund;113;0;24;24
2015;Helse Fonna HF - Stord;112;1;6;7
2015;Helse Førde HF - Førde;91;1;8;9
2015;Helse Førde HF - Lærdal;93;0;7;7
2015;Helse Førde HF - Nordfjord;92;0;4;4
2015;Helse Møre og Romsdal HF - Kristiansund;72;2;6;8
2015;Helse Møre og Romsdal HF - Molde;71;2;13;15
2015;Helse Møre og Romsdal HF - Volda;74;3;4;7
2015;Helse Møre og Romsdal HF - Ålesund;73;5;26;31
2015;Helse Nord-Trøndelag HF - Levanger;52;0;10;10
2015;Helse Nord-Trøndelag HF - Namsos;51;0;8;8
2015;Helse Stavanger HF - Stavanger;121;29;138;167
2015;Lovisenberg diakonale sykehus;240;0;1;1
2015;Nordlandssykehuset HF - Bodø;33;13;24;37
2015;Nordlandssykehuset HF - Lofoten;32;1;5;6
2015;Nordlandssykehuset HF - Vesterålen;31;0;6;6
2015;OUS HF - Rikshospitalet;181;227;168;395
2015;OUS HF - Ullevål;184;202;236;438
2015;St. Olavs Hospital HF - Orkdal;62;0;3;3
2015;St. Olavs Hospital HF - Trondheim;61;89;120;209
2015;Sykehuset Innlandet HF - Elverum;171;7;15;22
2015;Sykehuset Innlandet HF - Gjøvik;172;1;11;12
2015;Sykehuset Innlandet HF - Hamar;178;2;19;21
2015;Sykehuset Innlandet HF - Kongsvinger;174;0;5;5
2015;Sykehuset Innlandet HF - Lillehammer;173;2;15;17
2015;Sykehuset Innlandet HF - Tynset;175;0;3;3
2015;Sykehuset Telemark HF - Notodden;153;0;4;4
2015;Sykehuset Telemark HF - Skien;151;0;11;11
2015;Sykehuset i Vestfold HF - Tønsberg;221;0;15;15
2015;Sørlandet sykehus HF - Arendal;212;66;66;132
2015;Sørlandet sykehus HF - Flekkefjord;213;0;5;5
2015;Sørlandet sykehus HF - Kristiansand;211;2;4;6
2015;UNN HF - Harstad;22;1;13;14
2015;UNN HF - Narvik;23;0;5;5
2015;UNN HF - Tromsø;21;23;89;112
2015;Vestre Viken HF - Bærum;142;1;0;1
2015;Vestre Viken HF - Drammen;141;0;10;10
2015;Vestre Viken HF - Kongsberg;144;0;6;6
2015;Norge;0;785;1307;2092
