aar;BoHF;BoHF_txt;ald_gr;ErMann;TellerE;NevnerE
2014;1;Finnmark;1;1;2;4
2014;1;Finnmark;2;1;2;2
2014;2;UNN;1;0;2;7
2014;2;UNN;1;1;3;8
2014;2;UNN;2;0;;2
2014;2;UNN;2;1;2;8
2014;2;UNN;3;0;2;5
2014;2;UNN;3;1;1;4
2014;3;Nordland;1;0;3;4
2014;3;Nordland;1;1;7;14
2014;3;Nordland;2;0;5;10
2014;3;Nordland;2;1;3;12
2014;3;Nordland;3;0;3;4
2014;3;Nordland;3;1;4;6
2014;4;Helgeland;1;1;2;4
2014;4;Helgeland;2;0;1;3
2014;4;Helgeland;2;1;1;4
2014;4;Helgeland;3;0;1;5
2014;4;Helgeland;3;1;1;2
2014;6;Nord-Trøndelag;1;0;1;1
2014;6;Nord-Trøndelag;1;1;4;4
2014;6;Nord-Trøndelag;2;0;1;1
2014;6;Nord-Trøndelag;2;1;6;9
2014;6;Nord-Trøndelag;3;0;4;8
2014;6;Nord-Trøndelag;3;1;1;2
2014;7;St. Olavs;1;0;8;11
2014;7;St. Olavs;1;1;8;18
2014;7;St. Olavs;2;0;5;6
2014;7;St. Olavs;2;1;13;15
2014;7;St. Olavs;3;0;4;8
2014;7;St. Olavs;3;1;2;5
2014;8;Møre og Romsdal;1;0;3;6
2014;8;Møre og Romsdal;1;1;3;10
2014;8;Møre og Romsdal;2;0;3;6
2014;8;Møre og Romsdal;2;1;7;17
2014;8;Møre og Romsdal;3;0;9;15
2014;8;Møre og Romsdal;3;1;5;7
2014;10;Førde;1;0;3;6
2014;10;Førde;1;1;4;9
2014;10;Førde;2;0;3;4
2014;10;Førde;2;1;4;8
2014;10;Førde;3;0;6;9
2014;10;Førde;3;1;5;10
2014;11;Bergen;1;0;10;15
2014;11;Bergen;1;1;12;23
2014;11;Bergen;2;0;7;15
2014;11;Bergen;2;1;7;14
2014;11;Bergen;3;0;14;23
2014;11;Bergen;3;1;10;20
2014;12;Fonna;1;0;2;5
2014;12;Fonna;1;1;8;14
2014;12;Fonna;2;0;4;8
2014;12;Fonna;2;1;9;11
2014;12;Fonna;3;0;10;16
2014;12;Fonna;3;1;4;7
2014;13;Stavanger;1;0;10;13
2014;13;Stavanger;1;1;10;16
2014;13;Stavanger;2;0;6;10
2014;13;Stavanger;2;1;7;14
2014;13;Stavanger;3;0;23;25
2014;13;Stavanger;3;1;5;10
2014;14;Østfold;1;0;8;10
2014;14;Østfold;1;1;6;11
2014;14;Østfold;2;0;4;10
2014;14;Østfold;2;1;12;16
2014;14;Østfold;3;0;7;13
2014;14;Østfold;3;1;6;9
2014;15;Akershus;1;0;3;8
2014;15;Akershus;1;1;5;12
2014;15;Akershus;2;0;2;7
2014;15;Akershus;2;1;4;9
2014;15;Akershus;3;0;4;12
2014;15;Akershus;3;1;1;2
2014;16;Oslo;1;0;1;9
2014;16;Oslo;1;1;12;19
2014;16;Oslo;2;0;9;14
2014;16;Oslo;2;1;12;17
2014;16;Oslo;3;0;11;17
2014;16;Oslo;3;1;6;11
2014;19;Innlandet;1;0;4;10
2014;19;Innlandet;1;1;10;14
2014;19;Innlandet;2;0;7;10
2014;19;Innlandet;2;1;9;15
2014;19;Innlandet;3;0;4;6
2014;19;Innlandet;3;1;5;8
2014;20;Vestre Viken;1;0;3;7
2014;20;Vestre Viken;1;1;13;25
2014;20;Vestre Viken;2;0;9;16
2014;20;Vestre Viken;2;1;11;23
2014;20;Vestre Viken;3;0;12;22
2014;20;Vestre Viken;3;1;8;13
2014;21;Vestfold;1;0;2;4
2014;21;Vestfold;1;1;4;9
2014;21;Vestfold;2;0;2;5
2014;21;Vestfold;2;1;4;12
2014;21;Vestfold;3;0;6;11
2014;21;Vestfold;3;1;7;7
2014;22;Telemark;1;0;4;8
2014;22;Telemark;1;1;2;8
2014;22;Telemark;2;0;1;4
2014;22;Telemark;2;1;6;11
2014;22;Telemark;3;0;3;6
2014;22;Telemark;3;1;2;5
2014;23;Sørlandet;1;0;11;13
2014;23;Sørlandet;1;1;19;25
2014;23;Sørlandet;2;0;5;8
2014;23;Sørlandet;2;1;8;10
2014;23;Sørlandet;3;0;13;20
2014;23;Sørlandet;3;1;13;15
2015;1;Finnmark;1;0;1;1
2015;1;Finnmark;1;1;3;5
2015;1;Finnmark;2;0;1;2
2015;1;Finnmark;2;1;1;3
2015;1;Finnmark;3;0;;1
2015;2;UNN;1;0;5;6
2015;2;UNN;1;1;14;20
2015;2;UNN;2;0;3;8
2015;2;UNN;2;1;5;10
2015;2;UNN;3;0;4;8
2015;2;UNN;3;1;2;3
2015;3;Nordland;1;0;3;5
2015;3;Nordland;1;1;8;13
2015;3;Nordland;2;0;6;9
2015;3;Nordland;2;1;7;10
2015;3;Nordland;3;0;7;10
2015;3;Nordland;3;1;7;11
2015;4;Helgeland;1;0;1;2
2015;4;Helgeland;1;1;2;5
2015;4;Helgeland;2;0;2;4
2015;4;Helgeland;2;1;2;4
2015;6;Nord-Trøndelag;1;0;3;3
2015;6;Nord-Trøndelag;1;1;4;6
2015;6;Nord-Trøndelag;2;0;1;3
2015;6;Nord-Trøndelag;2;1;2;4
2015;6;Nord-Trøndelag;3;0;3;10
2015;6;Nord-Trøndelag;3;1;1;3
2015;7;St. Olavs;1;0;7;12
2015;7;St. Olavs;1;1;4;12
2015;7;St. Olavs;2;0;6;11
2015;7;St. Olavs;2;1;11;19
2015;7;St. Olavs;3;0;6;9
