Boområde;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015;2013;2014;2015
Finnmark;0;2;0;3;10;5;4;3;4;4;3;4;4;2;3;2;7;3;5;5;5;2;2;1;1;2;2;1;2;3;2;1;3;1;1;2
UNN;7;6;11;8;8;14;6;5;6;6;6;10;10;3;12;6;4;11;9;13;12;5;10;11;2;8;6;8;7;9;4;6;3;12;10;5
Nordlandssykehuset;2;2;3;3;6;3;8;4;4;6;7;4;9;7;7;6;8;4;8;8;7;8;1;8;4;3;6;2;5;4;2;3;3;1;9;5
Helgelandssykehuset;4;4;2;1;6;3;2;4;1;2;6;2;3;6;2;2;6;3;5;3;6;2;4;3;3;7;3;0;1;2;1;3;2;5;2;1
Nord-Trøndelag;5;8;5;4;4;7;5;3;13;5;10;11;8;7;8;12;8;5;13;9;3;7;7;7;9;11;2;5;5;2;4;2;3;9;8;4
St. Olavs;10;4;11;16;7;20;6;13;15;15;17;7;17;16;16;15;13;13;31;13;6;10;12;9;10;8;10;8;13;9;6;7;6;13;14;14
Møre og Romsdal;17;9;12;31;22;13;16;18;23;13;15;12;6;12;11;8;10;17;16;18;15;10;8;11;9;12;8;8;6;8;7;15;10;1;12;11
Førde;2;2;2;3;2;1;0;2;2;3;3;3;3;3;5;5;8;7;16;8;6;10;9;4;7;10;10;1;0;2;3;0;2;2;2;9
Bergen;7;12;18;5;16;23;10;8;18;16;23;17;25;23;20;27;25;15;52;24;18;13;20;5;18;11;15;16;15;23;10;19;19;33;32;43
Fonna;13;12;7;7;5;16;4;6;7;5;8;10;7;7;10;8;4;9;18;8;14;11;8;7;7;9;9;1;2;3;2;1;3;1;4;2
Stavanger;8;9;11;14;6;13;2;7;6;24;19;18;18;15;13;15;22;19;23;46;38;17;26;26;18;20;23;2;2;2;0;0;2;1;4;2
Østfold;14;14;15;12;18;23;11;11;16;20;16;18;21;30;11;26;23;19;26;16;28;10;16;9;13;21;13;9;3;4;5;7;1;7;9;10
AHUS;17;19;27;21;27;25;23;21;23;34;29;27;16;23;22;22;24;21;29;42;31;23;17;21;17;21;17;7;5;13;3;3;11;15;14;18
OUS;4;7;13;8;11;10;9;4;5;11;16;18;16;13;18;10;11;9;15;19;15;13;9;11;10;17;14;2;3;4;1;2;9;5;5;7
Diakonhjemmet;8;4;5;11;11;7;7;8;9;8;15;7;8;7;7;8;10;10;11;16;6;5;5;8;6;10;9;2;7;5;3;1;4;1;5;5
Lovisenberg;3;3;3;9;7;9;4;5;5;11;7;5;6;5;9;5;2;4;13;19;14;5;3;3;2;5;4;0;3;1;2;0;2;0;5;4
Innlandet;11;11;16;22;25;33;16;16;18;22;27;22;31;20;25;12;14;17;23;27;38;27;21;11;16;12;23;9;3;1;7;1;2;26;8;17
Vestre Viken;40;39;37;33;40;27;32;40;28;20;17;22;10;21;19;17;9;22;32;48;34;24;19;19;22;36;30;6;2;7;4;2;6;6;11;12
Vestfold;7;7;7;17;14;14;10;12;11;10;10;17;10;11;12;9;9;19;12;22;13;10;8;9;9;14;8;4;3;2;3;3;7;6;2;12
Telemark;7;9;17;15;15;19;6;16;24;7;7;7;5;6;4;7;3;13;14;5;12;3;7;6;3;3;2;4;9;0;2;2;0;9;5;6
Sørlandet;14;18;10;17;21;20;13;15;14;14;16;14;14;11;18;19;15;22;10;11;28;9;18;10;10;12;18;3;5;3;5;0;3;11;9;2
Norge;200;201;232;260;281;305;194;221;252;256;277;255;247;248;252;241;235;262;381;380;349;224;230;199;196;252;232;98;101;107;76;78;101;165;171;191
